image_file,num_objects,split
xray_hidden00000.png,1,train
xray_hidden00001.png,1,test
xray_hidden00002.png,1,train
xray_hidden00003.png,1,train
xray_hidden00004.png,1,train
xray_hidden00005.png,1,train
xray_hidden00006.png,1,train
xray_hidden00007.png,1,train
xray_hidden00008.png,1,train
xray_hidden00009.png,1,test
xray_hidden00010.png,1,train
xray_hidden00011.png,1,train
xray_hidden00012.png,1,train
xray_hidden00013.png,1,train
xray_hidden00014.png,1,train
xray_hidden00015.png,1,train
xray_hidden00016.png,1,test
xray_hidden00017.png,1,train
xray_hidden00018.png,1,val
xray_hidden00019.png,1,train
xray_hidden00020.png,1,train
xray_hidden00021.png,1,train
xray_hidden00022.png,1,train
xray_hidden00023.png,1,train
xray_hidden00024.png,1,train
xray_hidden00025.png,1,train
xray_hidden00026.png,1,train
xray_hidden00027.png,1,train
xray_hidden00028.png,1,train
xray_hidden00029.png,1,train
xray_hidden00030.png,1,train
xray_hidden00031.png,1,train
xray_hidden00032.png,1,train
xray_hidden00033.png,1,train
xray_hidden00034.png,1,train
xray_hidden00035.png,1,train
xray_hidden00036.png,1,train
xray_hidden00037.png,1,train
xray_hidden00038.png,1,train
xray_hidden00039.png,1,train
xray_hidden00040.png,1,train
xray_hidden00041.png,1,train
xray_hidden00042.png,1,train
xray_hidden00043.png,1,train
xray_hidden00044.png,1,train
xray_hidden00045.png,1,train
xray_hidden00046.png,1,train
xray_hidden00047.png,1,train
xray_hidden00048.png,1,train
xray_hidden00049.png,1,train
xray_hidden00050.png,1,train
xray_hidden00051.png,1,train
xray_hidden00052.png,1,train
xray_hidden00053.png,1,train
xray_hidden00054.png,1,train
xray_hidden00055.png,1,test
xray_hidden00056.png,1,train
xray_hidden00057.png,1,train
xray_hidden00058.png,1,train
xray_hidden00059.png,1,train
xray_hidden00060.png,1,test
xray_hidden00061.png,1,train
xray_hidden00062.png,1,train
xray_hidden00063.png,1,train
xray_hidden00064.png,1,train
xray_hidden00065.png,1,train
xray_hidden00066.png,1,val
xray_hidden00067.png,1,test
xray_hidden00068.png,1,train
xray_hidden00069.png,1,train
xray_hidden00070.png,1,train
xray_hidden00071.png,1,train
xray_hidden00072.png,1,train
xray_hidden00073.png,1,train
xray_hidden00074.png,1,train
xray_hidden00075.png,1,train
xray_hidden00076.png,1,train
xray_hidden00077.png,1,test
xray_hidden00078.png,1,train
xray_hidden00079.png,1,train
xray_hidden00080.png,1,train
xray_hidden00081.png,1,train
xray_hidden00082.png,1,test
xray_hidden00083.png,1,train
xray_hidden00084.png,1,train
xray_hidden00085.png,1,train
xray_hidden00086.png,1,train
xray_hidden00087.png,1,train
xray_hidden00088.png,1,train
xray_hidden00089.png,1,train
xray_hidden00090.png,1,train
xray_hidden00091.png,1,train
xray_hidden00092.png,1,train
xray_hidden00093.png,1,train
xray_hidden00094.png,1,train
xray_hidden00095.png,1,train
xray_hidden00096.png,1,train
xray_hidden00097.png,1,test
xray_hidden00098.png,1,train
xray_hidden00099.png,1,train
xray_hidden00100.png,1,train
xray_hidden00101.png,1,train
xray_hidden00102.png,1,train
xray_hidden00103.png,1,train
xray_hidden00104.png,1,train
xray_hidden00105.png,1,test
xray_hidden00106.png,1,train
xray_hidden00107.png,1,train
xray_hidden00108.png,1,train
xray_hidden00109.png,1,train
xray_hidden00110.png,1,train
xray_hidden00111.png,1,train
xray_hidden00112.png,1,test
xray_hidden00113.png,1,train
xray_hidden00114.png,1,train
xray_hidden00115.png,1,train
xray_hidden00116.png,1,train
xray_hidden00117.png,1,val
xray_hidden00118.png,1,train
xray_hidden00119.png,1,train
xray_hidden00120.png,1,train
xray_hidden00121.png,1,train
xray_hidden00122.png,1,train
xray_hidden00123.png,1,train
xray_hidden00124.png,1,train
xray_hidden00125.png,1,test
xray_hidden00126.png,1,test
xray_hidden00127.png,1,train
xray_hidden00128.png,1,train
xray_hidden00129.png,1,train
xray_hidden00130.png,1,train
xray_hidden00131.png,1,train
xray_hidden00132.png,1,train
xray_hidden00133.png,1,train
xray_hidden00134.png,1,train
xray_hidden00135.png,1,train
xray_hidden00136.png,1,test
xray_hidden00137.png,1,train
xray_hidden00138.png,1,test
xray_hidden00139.png,1,train
xray_hidden00140.png,1,train
xray_hidden00141.png,1,test
xray_hidden00142.png,1,train
xray_hidden00143.png,1,val
xray_hidden00144.png,1,train
xray_hidden00145.png,1,test
xray_hidden00146.png,1,train
xray_hidden00147.png,1,train
xray_hidden00148.png,1,train
xray_hidden00149.png,1,train
xray_hidden00150.png,1,train
xray_hidden00151.png,1,test
xray_hidden00152.png,1,train
xray_hidden00153.png,1,val
xray_hidden00154.png,1,test
xray_hidden00155.png,1,val
xray_hidden00156.png,1,test
xray_hidden00157.png,1,train
xray_hidden00158.png,1,train
xray_hidden00159.png,1,val
xray_hidden00160.png,1,train
xray_hidden00161.png,1,val
xray_hidden00162.png,1,test
xray_hidden00163.png,1,val
xray_hidden00164.png,1,train
xray_hidden00165.png,1,train
xray_hidden00166.png,1,train
xray_hidden00167.png,1,train
